2024-01-30 00:03:49.305 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:03:49.313 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:03:49.551 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:03:49.930 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:03:50.309 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:03:50.314 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:03:59.939 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:04:00.851 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:04:00.856 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:04:01.094 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:04:01.855 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:04:01.858 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:04:01.867 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:04:11.860 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:04:12.714 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:04:12.716 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:04:12.956 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:04:13.720 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:04:13.727 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:04:17.203 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:04:27.206 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:04:28.132 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:04:28.135 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:04:28.375 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:04:29.139 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:04:29.153 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:04:32.028 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:04:42.033 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:04:42.923 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:04:42.931 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:04:43.181 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:04:43.928 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:04:43.931 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:04:47.711 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:04:57.714 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:04:58.558 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:04:58.563 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:04:58.809 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:04:59.566 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:04:59.576 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:05:00.074 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:05:10.080 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:05:10.974 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:05:10.980 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:05:11.218 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:05:11.981 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:05:11.991 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:05:15.985 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
2024-01-30 00:05:25.990 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect websocket
2024-01-30 00:05:26.859 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-01-30 00:05:26.862 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-01-30 00:05:27.100 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-01-30 00:05:27.865 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - reconnect finish
2024-01-30 00:05:27.867 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - begin listen stop loss: {GTLS=StopLoss(stock=GTLS, canSellQty=12.0, lossPrice=105.099)}
2024-01-30 00:05:28.718 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - closing websocket. reason=CloseReason[1006,Closed abnormally.]
