ticker='JG', name='Aurora Mobile Limited American Depositary Shares', type=ADRC, active='true', cik='0001737339', composite_figi='BBG00LBL86W7'
ticker='JZ', name='Jianzhi Education Technology Group Company Limited American Depositary Shares', type=ADRC, active='true', cik='0001852440', composite_figi='BBG011RWD4Z5'
ticker='KC', name='Kingsoft Cloud Holdings Limited American Depositary Shares', type=ADRC, active='true', cik='0001795589', composite_figi='BBG00R6T4PQ2'
ticker='KRKR', name='36Kr Holdings Inc. American Depositary Shares', type=ADRC, active='true', cik='0001779476', composite_figi='BBG00QG35TS9'
ticker='KZIA', name='Kazia Therapeutics Limited American Depositary Shares', type=ADRC, active='true', cik='0001075880', composite_figi='BBG000KC7878'
ticker='LEGN', name='Legend Biotech Corporation American Depositary Shares', type=ADRC, active='true', cik='0001801198', composite_figi='BBG00TTGH5W4'
ticker='LI', name='Li Auto Inc. American Depositary Shares', type=ADRC, active='true', cik='0001791706', composite_figi='BBG00W0KZD98'
ticker='LIAN', name='LianBio American Depositary Shares', type=ADRC, active='true', cik='0001831283', composite_figi='BBG00XPQVPD8'
ticker='LIZI', name='LIZHI INC. American Depositary Shares', type=ADRC, active='true', cik='0001783407', composite_figi='BBG00QQ0WF77'
ticker='LOV', name='Spark Networks SE American Depositary Shares', type=ADRC, active='true', cik='0001705338', composite_figi='BBG00HXSDXX1'
ticker='LX', name='LexinFintech Holdings Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001708259', composite_figi='BBG00J7KGQN6'
ticker='LXEH', name='Lixiang Education Holding Co., Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001814067', composite_figi='BBG00X7L4LC9'
ticker='MDGS', name='Medigus Ltd. American Depositary Share', type=ADRC, active='true', cik='0001618500', composite_figi='BBG008QPWDD0'
ticker='MDXH', name='MDxHealth SA American Depositary Shares', type=ADRC, active='true', cik='0001872529', composite_figi='BBG012YPMJV1'
ticker='MESO', name='Mesoblast Limited American Depositary Shares', type=ADRC, active='true', cik='0001345099', composite_figi='BBG000QD6LZ1'
ticker='MF', name='Missfresh Limited American Depositary Shares', type=ADRC, active='true', cik='0001851682', composite_figi='BBG011C8S004'
ticker='MFH', name='Mercurity Fintech Holding Inc. ADS', type=ADRC, active='true', cik='0001527762', composite_figi='BBG007WGC6B4'
ticker='MLCO', name='Melco Resorts & Entertainment Limited American Depositary Shares', type=ADRC, active='true', cik='0001381640', composite_figi='BBG000BHP8J4'
ticker='MOB', name='Mobilicom Limited American Depositary Shares', type=ADRC, active='true', cik='0001898643', composite_figi='BBG017F91SX8'
ticker='MOLN', name='Molecular Partners AG American Depositary Shares', type=ADRC, active='true', cik='0001745114', composite_figi='BBG010B7DHZ0'
ticker='MOMO', name='Hello Group Inc. American Depositary Shares', type=ADRC, active='true', cik='0001610601', composite_figi='BBG007HTCQT0'
ticker='MOR', name='MorphoSys AG American Depositary Shares', type=ADRC, active='true', cik='0001340243', composite_figi='BBG00KN74FQ8'
ticker='MREO', name='Mereo BioPharma Group plc American Depositary Shares', type=ADRC, active='true', cik='0001719714', composite_figi='BBG00KFWZC67'
ticker='MRM', name='MEDIROM Healthcare Technologies Inc. American Depositary Share', type=ADRC, active='true', cik='0001819704', composite_figi='BBG00Y9DG072'
ticker='MTLS', name='Materialise NV', type=ADRC, active='true', cik='0001091223', composite_figi='BBG0068T24L0'
ticker='MTP', name='Midatech Pharma PLC', type=ADRC, active='true', cik='0001643918', composite_figi='BBG00BLVW2R4'
ticker='MYNA', name='Mynaric AG American Depository Shares', type=ADRC, active='true', cik='0001850453', composite_figi='BBG0133CFX12'
ticker='NA', name='Nano Labs Ltd American Depositary Shares', type=ADRC, active='true', cik='0001872302', composite_figi='BBG0183JSN32'
ticker='NAAS', name='NaaS Technology Inc. American Depositary Shares', type=ADRC, active='true', cik='0001712178', composite_figi='BBG00HTBYMW5'
ticker='NBTX', name='Nanobiotix S.A. American Depositary Shares', type=ADRC, active='true', cik='0001760854', composite_figi='BBG00Y9D2SW8'
ticker='NCNA', name='NuCana plc American Depositary Share', type=ADRC, active='true', cik='0001709626', composite_figi='BBG00HMJNMV8'
ticker='NCTY', name='The9 Limited American Depository Shares representing three class A ordinary shares', type=ADRC, active='true', cik='0001296774', composite_figi='BBG000CSP4C5'
ticker='NICE', name='NICE Ltd', type=ADRC, active='true', cik='0001003935', composite_figi='BBG000KC17R4'
ticker='NIU', name='Niu Technologies American Depositary Shares', type=ADRC, active='true', cik='0001744781', composite_figi='BBG00M37BS44'
ticker='NNDM', name='Nano Dimension Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001643303', composite_figi='BBG009DFFVW2'
ticker='NTES', name='NetEase, inc.', type=ADRC, active='true', cik='0001110646', composite_figi='BBG000BX72V8'
ticker='NVX', name='NOVONIX Limited American Depository Shares', type=ADRC, active='true', cik='0001859795', composite_figi='BBG014JB1C07'
ticker='OCFCP', name='OceanFirst Financial Corp. Depositary Shares', type=ADRC, active='true', cik='0001004702', composite_figi='null'
ticker='OIIM', name='02Micro International Limited', type=ADRC, active='true', cik='0001095348', composite_figi='BBG000C2YJ84'
ticker='OKYO', name='OKYO Pharma Limited American Depositary Shares', type=ADRC, active='true', cik='0001849296', composite_figi='BBG015TS35V5'
ticker='OLK', name='Olink Holding AB (publ) American Depositary Shares', type=ADRC, active='true', cik='0001835539', composite_figi='BBG00ZHZXYC2'
ticker='OMAB', name='Grupo Aeroportuario del Centro Norte S.A.B. de C.V', type=ADRC, active='true', cik='0001378239', composite_figi='BBG000QCR193'
ticker='OPRA', name='Opera Limited American Depositary Shares', type=ADRC, active='true', cik='0001737450', composite_figi='BBG00LBLDHJ2'
ticker='OPT', name='Opthea Limited American Depositary Shares', type=ADRC, active='true', cik='0001815620', composite_figi='BBG001QSYT51'
ticker='ORTX', name='Orchard Therapeutics plc American Depositary Shares', type=ADRC, active='true', cik='0001748907', composite_figi='BBG00M62QVH5'
ticker='OTLY', name='Oatly Group AB American Depositary Shares', type=ADRC, active='true', cik='0001843586', composite_figi='BBG0105XBRR9'
ticker='OZON', name='Ozon Holdings PLC American Depositary Shares, each ADS representing one ordinary share', type=ADRC, active='true', cik='0001822829', composite_figi='BBG00Y29RP99'
ticker='PDD', name='Pinduoduo Inc. American Depositary Shares', type=ADRC, active='true', cik='0001737806', composite_figi='BBG00LBLDDR2'
ticker='PPBT', name='Purple Biotech Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001614744', composite_figi='BBG00B3L3T17'
ticker='PRTC', name='PureTech Health plc American Depositary Shares', type=ADRC, active='true', cik='0001782999', composite_figi='BBG00Y6FM4S2'
ticker='PT', name='Pintec Technology Holdings Limited American Depositary Shares', type=ADRC, active='true', cik='0001716338', composite_figi='BBG00LG3Z509'
ticker='PTNR', name='Partner Communications', type=ADRC, active='true', cik='0001096691', composite_figi='BBG000DGFK99'
ticker='PUYI', name='Puyi Inc. American Depository Shares', type=ADRC, active='true', cik='0001750264', composite_figi='BBG00MNFN5R6'
ticker='QFIN', name='360 DigiTech, Inc. American Depositary Shares', type=ADRC, active='true', cik='0001741530', composite_figi='BBG00MDY4KL0'
ticker='QH', name='Quhuo Limited American Depository Shares', type=ADRC, active='true', cik='0001781193', composite_figi='BBG00V95T6J5'
ticker='QIWI', name='QIWI PLC', type=ADRC, active='true', cik='0001561566', composite_figi='BBG004D378N0'
ticker='QNRX', name='Quoin Pharmaceuticals, Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001671502', composite_figi='BBG00D9PB2L6'
ticker='QSG', name='QuantaSing Group Limited American Depositary Shares', type=ADRC, active='true', cik='0001932770', composite_figi='BBG01C3JFXX2'
ticker='QTT', name='Qutoutiao Inc. American Depositary Shares', type=ADRC, active='true', cik='0001733298', composite_figi='BBG00LQM8ZT9'
ticker='RCEL', name='Avita Medical, Inc. Common Stock', type=ADRC, active='true', cik='0001762303', composite_figi='BBG00TD18T43'
ticker='RDHL', name='Redhill Biopharma Ltd.', type=ADRC, active='true', cik='0001553846', composite_figi='BBG003RY91S7'
ticker='RNLX', name='Renalytix plc American Depositary Shares', type=ADRC, active='true', cik='0001811115', composite_figi='BBG00VPNC562'
ticker='RYAAY', name='Ryanair Holdings plc American Depositary Shares', type=ADRC, active='true', cik='0001038683', composite_figi='BBG000J9CBT0'
ticker='SECO', name='Secoo Holding Limited ADR', type=ADRC, active='true', cik='0001633441', composite_figi='BBG00HL2VKH7'
ticker='SIFY', name='Sify Technologies Limited', type=ADRC, active='true', cik='0001094324', composite_figi='BBG000C36XH2'
ticker='SIMO', name='Silicon Motion Technology Corporation', type=ADRC, active='true', cik='0001329394', composite_figi='BBG000GT7XY1'
ticker='SLN', name='Silence Therapeutics Plc American Depository Share', type=ADRC, active='true', cik='0001479615', composite_figi='BBG00WVTHPN2'
ticker='SNY', name='Sanofi American Depositary Shares (Each representing one-half of one ordinary share)', type=ADRC, active='true', cik='0001121404', composite_figi='BBG000BBD5N1'
ticker='STKH', name='Steakholder Foods Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001828098', composite_figi='BBG00ZCNPCX8'
ticker='SVRE', name='SaverOne 2014 Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001894693', composite_figi='BBG015VQFP30'
ticker='SY', name='So-Young International Inc. American Depository Shares', type=ADRC, active='true', cik='0001758530', composite_figi='BBG00NTZYPM3'
ticker='TC', name='TuanChe Limited American Depositary Shares', type=ADRC, active='true', cik='0001743340', composite_figi='BBG00MCDT2S3'
ticker='TCBP', name='TC BioPharm (Holdings) plc American Depositary Shares', type=ADRC, active='true', cik='0001872812', composite_figi='BBG0136BRF62'
ticker='TCOM', name='Trip.com Group Limited American Depositary Shares', type=ADRC, active='true', cik='0001269238', composite_figi='BBG000CWKYS8'
ticker='TEDU', name='Tarena International, Inc', type=ADRC, active='true', cik='0001592560', composite_figi='BBG006373TF4'
ticker='TKLF', name='Yoshitsu Co., Ltd American Depositary Shares', type=ADRC, active='true', cik='0001836242', composite_figi='BBG012BVD1H8'
ticker='TOUR', name='Tuniu Corporation', type=ADRC, active='true', cik='0001597095', composite_figi='BBG0069FL9S0'
ticker='TRIB', name='Trinity Biotech plc', type=ADRC, active='true', cik='0000888721', composite_figi='BBG000C1D008'
ticker='TRMR', name='Tremor International Ltd. American Depository Shares', type=ADRC, active='true', cik='0001849396', composite_figi='BBG0116Y22N3'
ticker='TRVG', name='trivago N.V. American Depositary Shares', type=ADRC, active='true', cik='0001683825', composite_figi='BBG00F9W84P2'
